Question,Choices,Answer,Question Type,Domain,Category
What is the most common dish in Central Saudi Arabia?,–,Jareesh,Open-ended,Common,Food
What is the most common sweet in Central Saudi Arabia?,–,Kleija,Open-ended,Common,Food
What is the common traditional street food in Central Saudi Arabia?,–,"Grilled Corn, Fried Potatoes",Open-ended,Common,Food
What is the most common breakfast dish in Central Saudi Arabia?,–,"Liver (Kibdah), Shakshouka",Open-ended,Common,Food
What is the common traditional drink in Central Saudi Arabia?,–,Saudi Coffee (Gahwa),Open-ended,Common,Food
What is the traditional clothing for men in Central Saudi Arabia?,–,"Al-Murudan, Al-Mukammam",Open-ended,Common,Clothes
What is the traditional clothing for women in Central Saudi Arabia?,–,Al-Nashl Al-Najdi,Open-ended,Common,Clothes
What is the traditional breakfast dish during Eid in Central Saudi Arabia?,–,"Jareesh, Qursan, Meat with Rice",Open-ended,Common,Celebration
What are the common traditional dances in Central Saudi Arabia?,–,Al-Ardah,Open-ended,Common,Celebration
What is the common traditional music in Central Saudi Arabia?,–,Al-Samri,Open-ended,Common,Entertainment
What is the common traditional craft in Central Saudi Arabia?,–,"Sadu Weaving, Palm-Frond Weaving (Khoos), Mud-Building",Open-ended,Common,Crafts and Work
What is the name of the items the bride buys for her wedding in Central Saudi Arabia?,–,Al-Jihaz (Bridal Set),Open-ended,Common,Dating
What is the average amount of dowry presented to the wife in Central Saudi Arabia?,–,"50,000–100,000 SAR",Open-ended,Common,Dating
What is the traditional winter dish made from dates and brown bread in Al-Qassim?,–,Al-Hanini,Open-ended,Specialized,Food
What is the main traditional sweet in the Al-Qassim region?,–,Al-Kleijah,Open-ended,Specialized,Food
"What is the name of the traditional Saudi food made from dried yogurt, shaped into white solid pieces?",–,Al-Aqit,Open-ended,Specialized,Food
In which region of Saudi Arabia is “Al-Marqooq” considered a regional dish?,–,Riyadh,Open-ended,Specialized,Food
In which region of Saudi Arabia is “Al-Marasee’” a main traditional dish?,–,Riyadh,Open-ended,Specialized,Food
What areas in central Saudi Arabia were historically known for making jewelry?,,"Al-Diriyah, Sudair ,Buraidah  ",Open-ended,Specialized,Crafts and Work
How many stages does the process of producing oud oil in Saudi Arabia go through?,–,Seven stages,Open-ended,Specialized,Crafts and Work
What is “Al-Kummar” in the context of traditional Najdi houses in Saudi Arabia?,–,An architectural feature for storing tea and coffee utensils,Open-ended,Specialized,Architecture
What is “Al-Liwan” in traditional Najdi houses in Riyadh?,–,An open seating area,Open-ended,Specialized,Architecture
What are the traditional architectural styles in the Al-Qassim region?,–,Building residential clusters along trade and pilgrimage caravan routes,Open-ended,Specialized,Architecture
How many rows are formed in the Saudi Ardah dance?,–,Two rows,Open-ended,Specialized,Entertainment
In which musical mode are most Saudi Ardah poems composed and performed?,–,Sika (Al-Sika),Open-ended,Specialized,Entertainment
Where do people in Riyadh usually go when the weather turns cold?,–,To the desert (Al-Barr),Open-ended,Specialized,Entertainment
What is the name given to a single strike of the large drum in the Saudi Ardah dance?,–,Al-Tafreedah,Open-ended,Specialized,Entertainment
What does the term “Al-Ta’leelah” refer to in Saudi culture?,–,Evening storytelling,Open-ended,Specialized,Entertainment
What is the name of the famous festival in Riyadh for arts and crafts?,–,Al-Janadriyah,Open-ended,Specialized,Entertainment
Where is the “Al-La’ybouli” dance popular in Saudi Arabia?,–,Central Saudi Arabia,Open-ended,Specialized,Entertainment
What are the most common welcoming phrases in Central Saudi Arabia?,–,Marhaban Alf,Open-ended,Specialized,Languages and Communication
What is the most common dish in Central Saudi Arabia?,A. Areeka B. Jareesh C. Mansaf D. Burgers,B. Jareesh,MCQ (one correct),Common,Food
What is the most popular sweet in Central Saudi Arabia?,A. Kleija B. Cookies C. Luqaimat D. Kunafa,A. Kleija,MCQ (one correct),Common,Food
What is the most common traditional street food in Central Saudi Arabia?,A. Corn B. French Fries C. Mutabbaq D. Shawarma,A. Corn,MCQ (one correct),Common,Food
What is the most common breakfast dish in Central Saudi Arabia?,A. Liver (Kebda) B. Areeka C. Ful Medames D. Samboosa,A. Liver (Kebda),MCQ (one correct),Common,Food
What is the most common traditional drink in Central Saudi Arabia?,A. Saudi Coffee (Qahwa) B. Orange Juice C. Mint Tea D. Dates Milk,A. Saudi Coffee (Qahwa),MCQ (one correct),Common,Food
What is the traditional breakfast dish during Eid-al-Fitr in Central Saudi Arabia?,A. Jareesh and Qursan B. Areeka with Ghee C. Mashghoutha D. Tannour Bread,A. Jareesh and Qursan,MCQ (one correct),Common,Celebration
What are the common traditional dances in Central Saudi Arabia?,A. Al-Ardha B. Al-Qazou’i C. Al-Huweili D. Al-Tarouq,A. Al-Ardha,MCQ (one correct),Common,Celebration
What is the traditional clothing for women in Central Saudi Arabia?,A. Al-Mirwaden B. Al-Nashil Al-Najdi C. Thobe Asiri D. Al-Mufraj,B. Al-Nashil Al-Najdi,MCQ (one correct),Common,Clothes
What is the traditional clothing for men in Central Saudi Arabia?,A. Al-Mirwaden B. Al-Thobe and Al-Sudairi C. Al-Dishdasha D. Al-Mufraj,A. Al-Mirwaden,MCQ (one correct),Common,Clothes
What is the common traditional music in Central Saudi Arabia?,A. Al-Samri B. Al-Mawal C. Al-Damma D. Al-Aghani Al-Bahriya (Sea Songs),A. Al-Samri,MCQ (one correct),Common,Entertainment
What is the common traditional craft in Central Saudi Arabia?,A. Shipment Making B. Mud Building C. Fishing D. Clock Embroidery,B. Mud Building,MCQ (one correct),Common,Crafts and Work
What is the name of the items the bride buys for her wedding in Central Saudi Arabia?,A. Dabish B. Al-Jihaz C. Maher D. Shabka,B. Al-Jihaz,MCQ (one correct),Common,Dating
