Question,Choices,Answer,Question Type,Domain,Category
What is the most common dish in South Saudi Arabia?,–,"Areeka, Mashghoutha, Raksh dish, Khameer, Lahoh, Haneeth, Aseedah",Open-ended,Common,Food
What is the most common sweet in South Saudi Arabia?,–,"Marsa (Jazan), Dates",Open-ended,Common,Food
What is the common traditional street food in South Saudi Arabia?,–,"Tanoor Bread, Barbary Fig (Prickly Pear), Corn, Tea",Open-ended,Common,Food
What is the most common breakfast dish in South Saudi Arabia?,–,"Areeka, Tanoor Bread, Ghee, Honey",Open-ended,Common,Food
What is the common traditional drink in South Saudi Arabia?,–,"Coffee, Qishr (Coffee Husk Drink)",Open-ended,Common,Food
What is the traditional clothing for men in South Saudi Arabia?,–,"Mofraj, Izar (also called Ma’awiz, Maqtab, Fouta, or Musanaf) — a lower-body wrap garment worn by men",Open-ended,Common,Clothes
What is the traditional clothing for women in South Saudi Arabia?,–,Thobe Asiri,Open-ended,Common,Clothes
What is the traditional breakfast dish during Eid Al-Fitr in South Saudi Arabia?,–,"Wheat with Ghee and Honey, Mashghoutha, Areeka, Marsa, and Salted Fish",Open-ended,Common,Celebration
What are the common traditional dances in South Saudi Arabia?,–,"Gazwai, Ardah Janoubiyah, La’b Shahri, Khatwah Janoubiyah, Dammah",Open-ended,Common,Celebration
What is the common traditional music in South Saudi Arabia?,–,Al-Damma,Open-ended,Common,Entertainment
What is the common traditional craft in South Saudi Arabia?,–,"Wood Dish Crafting (Sihaf), Al-Qatt Al-Asiri Art, Aromatic Plant Decoration (garlands, headbands, bouquets), Land Plowing Tools (Sabt)",Open-ended,Common,Crafts and Work
What is the name of the items the bride buys for her wedding in South Saudi Arabia?,–,Marwah (traditional bridal set),Open-ended,Common,Dating
What is the average amount of dowry presented to the wife in Saudi Arabia?,–,"40,000 SAR",Open-ended,Common,Dating
What is the name of the traditional butter dish served in South Saudi Arabia?,–,Radifah,Open-ended,Specialized,Food
"What is a popular dish known in the southern region of Saudi Arabia, served hot with honey, ghee, and dates?",–,Mashghoutha,Open-ended,Specialized,Food
In which regions of Saudi Arabia is the traditional dish “Haneeth” popular?,–,Southern Region,Open-ended,Specialized,Food
What is the name of the traditional food served to guests in the afternoon in South Saudi Arabia?,–,Wasel,Open-ended,Specialized,Food
What is the traditional oven or pot used for baking in South Saudi Arabia?,–,Tannour,Open-ended,Specialized,Food
In which region of Saudi Arabia is “Al-Maghsh” considered a traditional dish?,–,Jazan,Open-ended,Specialized,Food
What is the name of the traditional clothes in Tehama in South Saudi Arabia?,–,Wizra,Open-ended,Specialized,Clothes
What are the most common greeting phrases in Al-Baha?,–,"“Marhaban Heel… Ad Al-Seel” (Welcome countless times, like the floodwaters)",Open-ended,Specialized,Languages and Communication
