Question,Choices,Answer,Question Type,Domain,Category
What is the most common dish in West Saudi Arabia?,–,"Saleeg, Sayadiyah, Kebab Al-Mirwa, Bukhari, Al-Ma’adousah, Salatat",Open-ended,Common,Food
What is the most common sweet in West Saudi Arabia?,–,"Qamar Al-Din, Al-Ladu, Al-Labiyah, Al-Ghraibah, Al-Hareesah, Al-Dubayzah, Al-Masiyyah, Al-Saqdanah",Open-ended,Common,Food
What is the common traditional street food in West Saudi Arabia?,–,"Balila, Potatoes",Open-ended,Common,Food
What is the most common breakfast dish in West Saudi Arabia?,–,Foul and Tamees,Open-ended,Common,Food
What is the common traditional drink in West Saudi Arabia?,–,"Sobia, Raspberry Juice, Qamar Al-Din",Open-ended,Common,Food
What is the traditional clothing for men in West Saudi Arabia?,–,"Al-Thobe and Al-Sudairi, Al-Muharid (long-sleeved robe), Al-Aqal Al-Muqasab",Open-ended,Common,Clothes
What is the traditional clothing for women in West Saudi Arabia?,–,Al-Kurta,Open-ended,Common,Clothes
What is the traditional breakfast dish eaten after Eid in West Saudi Arabia?,–,Nowashif,Open-ended,Common,Celebration
What are the common traditional dances in West Saudi Arabia?,–,Al-Mizmar,Open-ended,Common,Entertainment
What is the common traditional music in West Saudi Arabia?,–,Al-Majroor,Open-ended,Common,Entertainment
What is the common traditional craft in West Saudi Arabia?,–,"Rosaries and Taif rose perfume, Sadu, pottery products, leather tanning, Al-Dalw, Al-Sabt (land plowing)",Open-ended,Common,Crafts and Work
What is the name of the items the bride buys for her wedding in West Saudi Arabia?,–,Dabish,Open-ended,Common,Dating
What is the average amount of dowry presented to the wife in Saudi Arabia?,–,"30,000–40,000 SAR",Open-ended,Common,Dating
"How can ""Hubb Soup"" be classified as a traditional Saudi stew, and what complementary foods are served with it?",–,Meat,Open-ended,Specialized,Food
What is the name of a common drink in Western Saudi Arabia during Ramadan?,–,Qamar Al-Din,Open-ended,Specialized,Food
What type of rice turns brown and is always served with fried or grilled fish in West Saudi Arabia?,–,Sayadiyah,Open-ended,Specialized,Food
What are the most famous pastries in the Western region of Saudi Arabia?,–,"Al-Sharik, Al-Kaak, Al-Fetout",Open-ended,Specialized,Food
"What is the name of a famous spice blend in Madinah, Saudi Arabia, known for its distinctive flavor and essential use in local dishes?",–,Al-Daq Al-Madani,Open-ended,Specialized,Food
What is the name of a common drink in Western Saudi Arabia in winter?,–,Sahlab,Open-ended,Specialized,Food
What is the method of greeting a guest in the Western region?,–,Touching the nose and cheeks,Open-ended,Specialized,Languages and Communication
What is the financial amount that the mother of the bride receives upon the marriage contract?,–,"5,000 SAR",Open-ended,Specialized,Dating
What is the name of the surah in the Quran that is read to declare engagement in West Saudi Arabia?,–,Surat Al-Fatiha,Open-ended,Specialized,Dating
What is the name of the event that happens to the bride before the wedding in West Saudi Arabia?,–,Ghumrah (bride’s dressing ceremony),Open-ended,Specialized,Dating
What popular drink is usually served to celebrate the Islamic New Year in West Saudi Arabia?,–,Almond Coffee (White Coffee),Open-ended,Specialized,Celebration
What is the traditional breakfast dish in Eid Al-Adha?,–,Liver (Mgalgal),Open-ended,Specialized,Celebration
What is the name of a family gathering that happens before Ramadan?,–,Shabna,Open-ended,Specialized,Celebration
Where do the people of Mecca usually go the night the pilgrims spend the night at Arafat?,–,The Holy Mosque,Open-ended,Specialized,Celebration
Which Saudi province is famous for rose distillation and producing rose water?,–,Taif,Open-ended,Specialized,Crafts and Work
"What is the name of the person responsible for assisting pilgrims coming from outside Saudi Arabia, guiding them from their arrival in Mecca until their departure?",–,Mutawwif,Open-ended,Specialized,Crafts and Work
What is the name of the traditional job in Mecca that involved providing water to pilgrims and worshippers?,–,Al-Siqayah,Open-ended,Specialized,Crafts and Work
Which regions of Saudi Arabia is the game of Carrom specifically known?,–,The regions of Mecca and Medina,Open-ended,Specialized,Entertainment
"What is the ""Kasrah"" in the context of the ""Harabi Dance""?",–,A poetic form consisting of one or two couplets with a consistent rhythm,Open-ended,Specialized,Entertainment
"In which region of Saudi Arabia is the ""Al-Majroor"" dance a popular folkloric tradition?",–,Western Region,Open-ended,Specialized,Entertainment
"Where is the dance ""Al-Ashouri"" famous in Saudi Arabia?",–,Western Region,Open-ended,Specialized,Entertainment
