Question,Choices,Answer,Question Type,Domain,Category
What is the most common dish in East Saudi Arabia?,–,"Al-Mahammar, Al-Thareed, Al-Mufallaq Al-Hasawi, Al-Makbous",Open-ended,Common,Food
What is the most common sweet in East Saudi Arabia?,–,"Al-Mafrouka, Al-Hanini, Al-Sago",Open-ended,Common,Food
What is the common traditional street food in East Saudi Arabia?,–,"Samosa, Falafel, Mutabbaq",Open-ended,Common,Food
What is the most common breakfast dish in East Saudi Arabia?,–,Balaleet (sweet vermicelli with egg),Open-ended,Common,Food
What is the common traditional drink in East Saudi Arabia?,–,Tea with Taif Rose,Open-ended,Common,Food
What is the traditional clothing for men in East Saudi Arabia?,–,Dishdasha (Thobe),Open-ended,Common,Clothes
What is the traditional clothing for women in East Saudi Arabia?,–,"Daraa, Thobe Hashemi, Masrah, Manthour, Thobe Al-Thuraya, Abaya, Sheilah, Nafnaf",Open-ended,Common,Clothes
What is the traditional breakfast dish during Eid Al-Fitr in East Saudi Arabia?,–,"Balaleet, Aseeda, Fateet, Liver, Zalabia",Open-ended,Common,Celebration
What are the common traditional dances in East Saudi Arabia?,–,"Ardah Saifiyah (Sword Dance), Fijri Art (Hasawi Style), Daq Al-Hubb, Harvest Dance, Freisa Dance",Open-ended,Common,Celebration
What is the common traditional music in East Saudi Arabia?,–,"Fijri, Nahhamah (sea chant), Liwa",Open-ended,Common,Entertainment
What is the common traditional craft in East Saudi Arabia?,–,"Pottery, Palm-Frond Weaving (Khoos), Cloak Weaving (Mishlah), Rope Making, Leatherwork, Sword Making, Basket Weaving, Metalwork, Fish Traps (Gargoor)",Open-ended,Common,Crafts and Work
What is the name of the items the bride buys for her wedding in East Saudi Arabia?,–,Shabkah (Bridal Jewelry Set),Open-ended,Common,Dating
What is the average amount of dowry presented to the wife in East Saudi Arabia?,–,"25,000–60,000 SAR",Open-ended,Common,Dating
"What type of dessert dish in the Eastern Province of Saudi Arabia is made from starchy granules, water, sugar, and ghee?",–,Sago (Al-Sago),Open-ended,Specialized,Food
"What is a traditional dish of the Eastern Province, eaten on the first day of Eid Al-Fitr, made of mashed dates, ghee, and flour?",–,Al-Mamroos,Open-ended,Specialized,Food
What is Harees soup made of in the east of Saudi Arabia?,–,Hassawi wheat,Open-ended,Specialized,Food
What is the dish from the east that relies on rice cooked with sugar and served with fried fish?,–,Al-Mahammar,Open-ended,Specialized,Food
"What is the name of the striped fabric worn by men around the lower body, especially by divers in the east?",–,Izar,Open-ended,Specialized,Clothes
"What is the name of the traditional sea folklore of Saudi Arabia, common in the east, especially in Qatif?",–,Sanakli Art,Open-ended,Specialized,Entertainment
What is the name of the traditional game popular in Darin Center in the Eastern Region of Saudi Arabia?,–,Jadeer,Open-ended,Specialized,Entertainment
"What is the name of the traditional dance performed in the east, considered an ancient heritage, particularly in the Al-Ahsa region?",–,Al-Haida Dance,Open-ended,Specialized,Entertainment
What is the name of the celebration observed in the east during Sha’ban or Ramadan?,–,Garangao (Al-Garqee’an),Open-ended,Specialized,Celebration
The craft of making Mishlahs (traditional cloaks) is an inherited profession in which families?,–,Al-Ahsa families,Open-ended,Specialized,Crafts and Work
There is a similarity between the jewelry in the eastern and northern regions of Saudi Arabia and the jewelry of which other region?,–,Riyadh,Open-ended,Specialized,Crafts and Work
“Al-Frisi” is a traditional performing art in Saudi Arabia that originated in which region?,–,Eastern Region,Open-ended,Specialized,Crafts and Work
What is the traditional craft referred to as “Al-Qallafa” in Saudi culture?,–,Shipbuilding,Open-ended,Specialized,Crafts and Work
"What handicraft, common in the east, is primarily made by women using palm tree products?",–,Palm-Frond Weaving (Khoos),Open-ended,Specialized,Crafts and Work
What material is used for building ships in the east of Saudi Arabia?,–,Wood,Open-ended,Specialized,Crafts and Work
What are the three main architectural planning styles in the Eastern Region of Saudi Arabia?,–,"Coastal architecture, Desert architecture, Agricultural (Oasis) architecture",Open-ended,Specialized,Architecture
What is the most common dish in East Saudi Arabia?,A. Areeka B. Ma’asoub C. Mansaf D. Al-Thareed,D. Al-Thareed,MCQ (one correct),Common,Food
What is the most popular sweet in East Saudi Arabia?,A. Kleija B. Marsa C. Al-Sago D. Kunafa,C. Al-Sago,MCQ (one correct),Common,Food
Which of the following is a common traditional street food in East Saudi Arabia?,A. Shawarma B. Mutabbaq C. Balila D. All of the above,B. Mutabbaq,MCQ (one correct),Common,Food
What is the traditional breakfast dish in Eid Al-Fitr in East Saudi Arabia?,A. Ful Medames B. Haneeth C. Mandi D. Balaleet,D. Balaleet,MCQ (one correct),Common,Food
Which of the following is a common traditional drink in East Saudi Arabia?,A. Tea with Rose B. Sobya C. Toronj Juice D. Qishr Coffee,A. Tea with Rose,MCQ (one correct),Common,Food
Which of the following is a traditional breakfast dish enjoyed during Eid Al-Fitr in East Saudi Arabia?,A. Areeka B. Zalabiya C. Mansaf D. Hanini,B. Zalabiya,MCQ (one correct),Common,Celebration
Which of the following are common traditional dances in East Saudi Arabia?,A. Ardah B. Saifiya C. Al-Qazzwai D. Al-Dahha and Samri,B. Saifiya,MCQ (one correct),Common,Celebration
What is the traditional clothing for men in East Saudi Arabia?,A. Al-Mirwaden B. Al-Thobe and Al-Sudairi C. Al-Dishdasha D. Al-Mufraj,C. Al-Dishdasha,MCQ (one correct),Common,Clothes
